gerne,interpret,album,release_year,songtitle
Schlager,Michael Wendler,"Best Of, Vol. 1",2007,Vollidiot
Schlager,Michael Wendler,"Best Of, Vol. 1",2007,Tagebuch
Schlager,Michael Wendler,Unbesiegt,2008,Unbesiegt
Schlager,Michael Wendler,Unbesiegt,2008,Dich lass ich nie mehr gehn
Schlager,Michael Wendler,Unbesiegt,2008,Nina
Schlager,Michael Wendler,Unbesiegt,2008,Echolot
Schlager,Michael Wendler,Unbesiegt,2008,Dennoch liebst du mich
Schlager,Michael Wendler,Unbesiegt,2008,Sie ist gegangen
Schlager,Michael Wendler,Unbesiegt,2008,Rosen
Schlager,Michael Wendler,Unbesiegt,2008,Voll am Limit
Schlager,Michael Wendler,Unbesiegt,2008,Sie liebt den DJ
Schlager,Michael Wendler,Unbesiegt,2008,Das schönste Girl der Welt
Schlager,Michael Wendler,Unbesiegt,2008,Engel
Schlager,Michael Wendler,Unbesiegt,2008,Dennoch liebst du mich
Schlager,Michael Wendler,Respekt,2009,Respekt
Schlager,Michael Wendler,Respekt,2009,Wer weiss warum
Schlager,Michael Wendler,Respekt,2009,"Mein Herz, du Luder"
Schlager,Michael Wendler,Respekt,2009,Königin der Nacht
Schlager,Michael Wendler,Respekt,2009,Teddybär
Schlager,Michael Wendler,Respekt,2009,Meine Welt
Schlager,Michael Wendler,Respekt,2009,Komm fliege mit mir
Schlager,Michael Wendler,Respekt,2009,In so einer Nacht
Schlager,Michael Wendler,Respekt,2009,Melody
Schlager,Michael Wendler,Respekt,2009,Hörst du den Ruf
Schlager,Michael Wendler,Respekt,2009,Lemminge
Schlager,Nina Hagen,VolksBeat,2011,Ick lass mir doch vom Teufel nich...
Schlager,Nina Hagen,VolksBeat,2011,Killer
Schlager,Nina Hagen,VolksBeat,2011,Ermutigung
Schlager,Nina Hagen,VolksBeat,2011,Ich bin
Schlager,Nina Hagen,VolksBeat,2011,Das 5. Gebot
Schlager,Nina Hagen,VolksBeat,2011,Menschen sind kompatibel
Schlager,Nina Hagen,VolksBeat,2011,Wir sind das Volk
Schlager,Nina Hagen,VolksBeat,2011,Soma Koma
Schlager,Nina Hagen,VolksBeat,2011,Jesus ist ein Freund von mir
Schlager,Nina Hagen,VolksBeat,2011,"Süsses, süsses Lied der Errettung"
Schlager,Nina Hagen,VolksBeat,2011,Noch ein Tässchen Kaffee
Schlager,Nina Hagen,VolksBeat,2011,Nicht Vergessen
Schlager,Nina Hagen,Irgendwo auf der Welt,2006,Irgendwo auf der Welt
Schlager,Nina Hagen,Irgendwo auf der Welt,2006,"Yes, Sir"
Schlager,Nina Hagen,Irgendwo auf der Welt,2006,An einem Tag in Frühling
Schlager,Nina Hagen,Irgendwo auf der Welt,2006,"Halli, Hallo"
Schlager,Nina Hagen,Irgendwo auf der Welt,2006,And the Angels Sing
Schlager,Nina Hagen,Irgendwo auf der Welt,2006,Der Wind hat mir ein Lied erzählt
Schlager,Nina Hagen,Irgendwo auf der Welt,2006,Bei mir bist du schön
Schlager,Nina Hagen,Irgendwo auf der Welt,2006,Happiness
Schlager,Nina Hagen,Return of the Mother,2000,Der Wind hat mir ein Lied erzählt
Schlager,Nina Hagen,Return of the Mother,2000,Poetenclub
Schlager,Nina Hagen,Return of the Mother,2000,Handgrenade
Schlager,Nina Hagen,FreuD Euch,1995,Einfach Nina
Schlager,Nina Hagen,FreuD Euch,1995,Laß mich in Ruhe!
Schlager,Nina Hagen,FreuD Euch,1995,Stacheldraht
Schlager,Nina Hagen,FreuD Euch,1995,Tiere
Schlager,Nina Hagen,FreuD Euch,1995,Zero Zero UFO
Schlager,Nina Hagen,FreuD Euch,1995,Gloria Halleluja Amen
Schlager,Nina Hagen,FreuD Euch,1995,Geburt
Schlager,Nina Hagen,FreuD Euch,1995,Sonntagmorgen
Schlager,Nina Hagen,FreuD Euch,1995,Abgehaun
Schlager,Nina Hagen,FreuD Euch,1995,Freiheitslied
Schlager,Nina Hagen,FreuD Euch,1995,Wende
Schlager,Nina Hagen,FreuD Euch,1995,Kunst
Schlager,Nina Hagen,FreuD Euch,1995,Riesenschritt
Schlager,Nina Hagen,FreuD Euch,1995,Sternmädchen
Schlager,Nina Hagen,FreuD Euch,1995,Pank
Schlager,Peter Maffay,Ewig,2008,Der Mensch auf den du wartest
Schlager,Peter Maffay,Ewig,2008,Die Liebe bleibt
Schlager,Peter Maffay,Ewig,2008,In dir ist immer noch ein Licht
Schlager,Peter Maffay,Ewig,2008,Meine Welt
